День,№ Кампании,Название кампании,Статус кампании,"Расход, ₽",Показы,Клики,Конверсии / Автоцель: переход в мессенджер № 352109324,Конверсии / Намерение записаться № 512457364,Конверсии / Время на сайте > 2 минуты № 515571052,Конверсии,"CR, %","CPA, ₽","Ср. ставка за клик, ₽"
Итого,,,,9502.02,3039,173,3,16,41,60,34.68,158.37,70.52
15.03.2026,704073639,Психолог Ксения,Активные,1026.17,187,14,-,1,3,4,28.57,256.54,95.17
16.03.2026,704073639,Психолог Ксения,Активные,2415.46,585,39,2,4,12,18,46.15,134.19,83.31
17.03.2026,704073639,Психолог Ксения,Активные,1430.35,497,31,1,2,7,10,32.26,143.03,56.34
18.03.2026,704073639,Психолог Ксения,Активные,1557.65,574,30,-,-,4,4,13.33,389.41,63.72
19.03.2026,704073639,Психолог Ксения,Активные,970.52,491,22,-,1,5,6,27.27,161.75,55.00
20.03.2026,704073639,Психолог Ксения,Активные,1459.86,475,26,-,6,7,13,50.00,112.30,73.95
21.03.2026,704073639,Психолог Ксения,Активные,642.02,230,11,-,2,3,5,45.45,128.40,75.24
