Поисковый запрос,№ Кампании,Название кампании,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Тип соответствия,Категория запроса,Упоминания брендов в запросах,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Производитель устройства,Версия ОС устройства,Тип устройства,Тип операционной системы,Тип связи,Тип площадки,Вид размещения,Тип стратегии,Название пакетной стратегии,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
психолог в онлайн школу,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -консультация -помощь -цена -стоимость -запись -записываться -кпт -находить -сайт -тревожность -тревога -анонимный,Пословное,Широкие запросы,Запросы без упоминания брендов,-,0,-,0,,17349513059,Активные,Текстово-графическое,КПТ психолог онлайн,Реальные техники и упражнения,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,2–5%,Не определено,-,-,Смартфоны,iOS,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.74,0.00,73.59,-,-,-,-
психолог киров анонимно,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
кпт схематерапевт получить онлайн консультацию психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17645005723,Активные,Текстово-графическое,КПТ-психолог. Работа с тревожностью онлайн.,Конкретные навыки управления тревогой. Краткосрочный научный метод.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,45-54 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-,-,-
психолог в абдулино есть,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,1.23,0.00,123.48,1.00,-,-,-
онлайн консультация психотерапевта или его помощником в ставрополе,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог в калаче воронежской области,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,45-54 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
общаться с психологом в смартфоне,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Женский,Старше 55,Топ 1%,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.05,0.00,5.19,8.00,-,-,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -консультация -помощь -цена -стоимость -запись -записываться -кпт -находить -сайт -тревожность -тревога -анонимный,Пословное,Широкие запросы,Запросы без упоминания брендов,-,0,-,0,,17349513059,Активные,Текстово-графическое,КПТ психолог онлайн,Реальные техники и упражнения,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,Не определен,Остальные,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.06,0.00,6.31,-,-,-,-
запись к психологам и психотерапевту,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,25-34 года,6–10%,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.59,0.00,59.36,4.00,-,-,-
психолог курчатов,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-,-,-
психолог эро онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -консультация -помощь -цена -стоимость -запись -записываться -кпт -находить -сайт -тревожность -тревога -анонимный,Пословное,Широкие запросы,Запросы без упоминания брендов,-,0,-,0,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,45-54 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
александр шахов психолог сайт официальный,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,0,-,0,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,1.27,0.00,126.66,1.00,-,-,-
кпт терапевт киров,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,25-34 года,Остальные,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.05,0.00,5.19,8.00,-,-,-
помощь психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,35-44 года,2–5%,Не определено,-,-,Смартфоны,iOS,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.90,0.00,89.95,1.00,-,-,-
психотерапевт саранск тревожность,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17645040839,Активные,Текстово-графическое,Тревога мешает жить? Я помогу это изменить,Когнитивно-поведенческая терапия. Научно обоснованный подход.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.99,0.00,99.18,2.00,-,-,-
психолог сосновка тамбовская область,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,45-54 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -консультация -помощь -цена -стоимость -запись -записываться -кпт -находить -сайт -тревожность -тревога -анонимный,Семантическое,Широкие запросы,Запросы без упоминания брендов,-,0,-,0,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,Не определен,Остальные,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.05,0.00,5.19,8.00,-,-,-
орехова психолог платном основе запизаться,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,0,-,0,,17645039970,Активные,Текстово-графическое,Устали бороться с тревогой?,"КПТ-психолог онлайн. Структурный подход, измеримые результаты. Сессия 5 000 ₽.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,-,-,Смартфоны,iOS,Мобильная связь,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,Старше 55,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.58,0.00,58.33,1.00,-,-,-
помощь психолога онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Широкие запросы,Запросы без упоминания брендов,-,0,-,0,,17590706994,Активные,Текстово-графическое,Трудности с засыпанием из-за потока навязчивых мыслей?,Сессия 5000 руб.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Не определен,Не определен,Остальные,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.05,0.00,5.19,8.00,-,-,-
психологическая помощь ростов великий,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,45-54 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.95,0.00,94.73,2.00,-,-,-
помощь психолога онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Широкие запросы,Запросы без упоминания брендов,-,0,-,0,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Не определен,Не определен,Остальные,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.06,0.00,6.31,-,-,-,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -консультация -помощь -цена -стоимость -запись -записываться -кпт -находить -сайт -тревожность -тревога -анонимный,Семантическое,Широкие запросы,Запросы без упоминания брендов,-,0,-,0,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.53,0.00,52.79,4.00,-,-,-
поведенческий терапевт с целью,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Не определен,Не определен,Остальные,Не определено,-,-,Смартфоны,iOS,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.42,0.00,41.63,6.00,-,-,-
консультация психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,Старше 55,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.54,0.00,54.07,2.00,-,-,-
константин колесниченко психолог сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,0,-,0,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,45-54 года,Остальные,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог курчатов,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.61,0.00,61.34,2.00,-,-,-
онлайн психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -консультация -помощь -цена -стоимость -запись -записываться -кпт -находить -сайт -тревожность -тревога -анонимный,Пословное,Не определено,-,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Реклама в саджесте,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,1.00,-,-,-
психолог сибай,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-,-,-
михаил хорс психолог стоимость приема,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,0,-,0,,17349513059,Активные,Текстово-графическое,КПТ психолог онлайн,Реальные техники и упражнения,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,Старше 55,Топ 1%,Не определено,-,-,Смартфоны,iOS,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,-,-,Смартфоны,iOS,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.12,0.00,11.72,4.00,-,-,-
психологическая перезагрузка онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -консультация -помощь -цена -стоимость -запись -записываться -кпт -находить -сайт -тревожность -тревога -анонимный,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,-,0,-,0,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-,-,-
встреча с психологом,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,Старше 55,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.29,0.00,28.54,3.00,-,-,-
youtalk сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,помощь психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,0,-,0,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,2–5%,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.65,0.00,65.24,3.00,-,-,-
инсайт сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,0,-,0,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,2–5%,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,0.58,0.00,58.13,4.00,-,-,-
psyhologram сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,0,-,0,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,2–5%,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,1.16,0.00,116.20,1.00,-,-,-
психолог платно,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,-,0,-,0,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
