День,№ Кампании,Название кампании,Статус кампании,"Расход, ₽",Показы,Клики,Конверсии / Автоцель: переход в мессенджер № 352109324,Конверсии / Намерение записаться № 512457364,Конверсии / Время на сайте > 2 минуты № 515571052,Конверсии,"CR, %","CPA, ₽","Ср. ставка за клик, ₽","CTR, %","CPC, ₽","CPM, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Прогноз доли выигрышей, %",Охват,Ср. частота показов
Итого,,,,4453.62,1531,81,1,10,13,24,29.63,185.57,70.43,5.29,54.98,2908.96,873.15,9.28,57.03,3.53,2.03,14.63,1142,1.34
22.03.2026,704073639,Психолог Ксения,Активные,876.34,326,16,1,3,6,10,62.50,87.63,74.25,4.91,54.77,2688.17,206.48,7.75,63.34,3.33,2.13,-,248,1.31
23.03.2026,704073639,Психолог Ксения,Активные,1765.31,675,35,-,3,3,6,17.14,294.22,62.53,5.19,50.44,2615.27,397.03,8.82,58.82,3.48,1.94,-,504,1.34
24.03.2026,704073639,Психолог Ксения,Активные,1722.64,508,28,-,4,4,8,28.57,215.33,79.10,5.51,61.52,3391.02,262.14,10.68,51.60,3.69,2.14,-,394,1.29
25.03.2026,704073639,Психолог Ксения,Активные,89.34,22,2,-,-,-,0,0.00,-,56.61,9.09,44.67,4060.72,7.50,26.68,34.07,4.36,1.00,-,20,1.10
